sample-id	BioSample	Loading 	collection_date	hours	env_broad_scale	env_local_scale	env_medium	project_name
DRR317292	SAMD00402291	Initial	2019-09-26	0	missing	missing	AD sludge	Short-term changes in the anaerobic digestion microbiome and biochemical pathways with changes in organic load
DRR317293	SAMD00402292	OLR-0	2019-09-29	12	missing	missing	AD sludge	Short-term changes in the anaerobic digestion microbiome and biochemical pathways with changes in organic load
DRR317294	SAMD00402293	OLR-0.5	2019-09-29	24	missing	missing	AD sludge	Short-term changes in the anaerobic digestion microbiome and biochemical pathways with changes in organic load
DRR317295	SAMD00402294	OLR-1	2019-09-29	36	missing	missing	AD sludge	Short-term changes in the anaerobic digestion microbiome and biochemical pathways with changes in organic load
DRR317296	SAMD00402295	OLR-3	2019-09-29	48	missing	missing	AD sludge	Short-term changes in the anaerobic digestion microbiome and biochemical pathways with changes in organic load
DRR317297	SAMD00402296	OLR-5	2019-09-29	72	missing	missing	AD sludge	Short-term changes in the anaerobic digestion microbiome and biochemical pathways with changes in organic load
